Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Flowering Plant,Lila,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,lila,
Flowering Plant,Macun,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,macun,
Flowering Plant,Mauro,24.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,mauro,
Flowering plant,Mezdi,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,mezdi,
Vegetable,Nantaise,48.0,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4.0,0.5,nantaise,
Flowering Plant,Northern Plant,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,northern,h
Flowering plant,Parrot,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,parrot,h
Flowering Plant,Porthos,48.0,"[""NPK"",""Organic compost""]",4.0,0.5,porthos,
Flowering Plant,Pulcina,60.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.75,pulcina,
Annual,Rasmus,48.0,"[""NPK fertilizer"",""Compost""]",2.0,1.0,rasmus,
Ornamental Plant,Robuschka,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,robuschka,
Flowering Plant,Rodelika,12.0,"[""NPK"",""Compost"",""Organic Matter""]",4.0,1.0,rodelika,
Flowering Plant,Rodynda,48.0,"[""NPK"",""Organic compost""]",4.0,0.5,rodynda,
Flowering plant,Ruthje,24.0,"[""organic compost"",""slow-release granular fertilizer""]",4.0,2.0,ruthje,
Flowering Plant,Silvia,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,silvia,
Flowering plant,Tabiro,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,tabiro,
Flowering Plant,Tica,72.0,"[""NPK"",""Compost""]",4.0,1.0,tica,
Perennial,Tramunt,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,tramunt,
Shrub,Treenetaler,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,4.0,treenetaler,
Flowering Plant,Trixie,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,trixi,
Flowering Plant,Wintersonne,48.0,"[""NPK"",""Organic Compost""]",4.0,1.0,wintersonne,
Annual Flowering Plant,Acroclinium,48.0,"[""Balanced NPK fertilizer"",""Organic compost""]",4.0,1.0,acroclinium,
Flower,Bluebell,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,blue,
Flowering Plant,California Poppy,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.2,california,
Vegetable,China,12.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,china,
Flowering Plant,Chrysanthemum,48.0,"[""10-10-10"",""5-10-5""]",4.0,0.5,chrysanthemum,
Flowering plant,Clarkia,24.0,"[""NPK 10-10-10"",""Fish emulsion"",""Compost""]",4.0,0.2,clarkia,
Flowering Plant,Coreopsis,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.5,coreopsis,
Annual Flower,Corncockle,48.0,"[""Organic compost"",""NPK fertilizers""]",4.0,0.5,corncockle,
Annual Flower,Cornflower,48.0,"[""NPK"",""Compost""]",4.0,0.5,cornflower,
Flowering plant,Crimson,24.0,"[""NPK"",""compost""]",2.0,1.0,crimson,
Perennial,Dahlia,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,dahlia,
Flowering Plant,Double,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,double,
flowering plant,four,24.0,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4.0,2.0,four,
Flowering Vine,Ipomoea,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,ipomoea,
Flowering Plant,Larkspur,48.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4.0,1.0,larkspur,
Perennial,Lavatera,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,lavatera,
Annual Flower,Marigold,48.0,"[""10-10-10"",""5-10-5"",""15-15-15""]",4.0,0.5,marigold,
Flowering Plant,Mexican Daisy,24.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",6.0,0.5,mexican,h
Flower,Mignonette,48.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,1.0,mignonette,
Flowering Plant,Nasturtium,24.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,1.0,nasturtium,
Flowering plant,Nigella,48.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,nigella,
Flowering Plant,Orlaya,36.0,"[""Organic compost"",""Slow-release fertilizer""]",5.0,0.15000000000000002,orlaya,
Flowering Plant,Poppy,24.0,"[""Organic compost"",""All-purpose liquid fertilizer""]",4.0,0.5,poppy,
Perennial Flower,Rudbeckia,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,rudbeckia,
Herbaceous perennial,Salvia,48.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,salvia,
Annual,Snapdragon,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.25,snapdragon,
Houseplant,Spider Plant,48.0,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",4.0,0.5,spider,
Annual,Strawflower,48.0,"[""NPK 10-10-10"",""Bone Meal"",""Compost""]",4.0,0.5,strawflower,
Flowering plant,Sunflower,72.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,sunflower,
Fruit,Sweet,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,sweet,
Annual,Tagetes,48.0,"[""10-10-10"",""5-10-10""]",4.0,0.5,tagetes,
Grass,Tassel,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,tassel,
Herbaceous perennial,Vervain,48.0,"[""NPK"",""Compost""]",4.0,0.25,vervain,
Flowering plant,Xeranthemum,48.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,0.25,xeranthemum,
Flowering plant,Zinnia,60.0,"[""NPK 10-10-10"",""Compost"",""Liquid seaweed""]",5.0,0.25,zinnia,
Flower,Canterbury Bells,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,canterbury,
Flowering plant,Dame,24.0,"[""Compost"",""Organic fertilizer""]",4.0,1.0,dame,
Perennial,Siberian,48.0,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4.0,0.5,siberian,
Annual,Summer,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,summer,
Flowering plant,Viola,24.0,"[""Organic compost"",""Slow-release fertilizer""]",6.0,0.25,viola,
Flowering Plant,Cottage,48.0,"[""Organic Compost"",""NPK Fertilizer""]",4.0,2.0,cottage,
Flowering Plant,Fairy,48.0,"[""Organic compost"",""NPK fertilizer""]",4.0,0.5,fairy,
Ornamental plant,Glory,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,glory,
Flowering,Flowering Seed,24.0,"[""NPK"",""Compost""]",4.0,1.0,flowering,
Perennial Plant,Centaury,72.0,"[""Compost"",""Organic Liquid Fertilizer""]",4.0,0.2,centaury,
Perennial,Coneflower,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",6.0,0.5,coneflower,
Perennial,Delphinium,72.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.25,delphinium,
Perennial,Fragrant,48.0,"[""NPK"",""Organic compost""]",4.0,0.5,fragrant,
Perennial Flower,Geum,48.0,"[""Organic compost"",""Balanced fertilizer""]",4.0,0.5,geum,
Perennial Flower,Helenium,48.0,"[""Compost"",""Organic Fertilizer""]",6.0,0.5,helenium,
Flowering Plant,Jacob,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,jacob,
Perennial shrub,Lavandula,72.0,"[""Compost"",""Organic fertilizer""]",4.0,0.2,lavender,
Flowering Plant,Maltese,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,maltese,
Wildflower,Meadow,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.5,meadow,
Perennial Flower,Oxeye,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.25,oxeye,
Tall Plant,Tall Seed,24.0,"[""ABX Fertilizer"",""AFN Fertilizer""]",4.0,2.0,tall,h
Flowering Plant,Butterfly,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,1.0,butterfly,
Shade plant,Shade seed,48.0,"[""compost"",""organic liquid fertilizer""]",4.0,2.0,shade,
Wild,Wild Seed,48.0,"[""compost"",""manure"",""mulch""]",4.0,1.0,wild,
Legume,Alfalfa,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,alfalfa,
Flowering plant,For,24.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,1.0,for,
Flowering Plant,Astera,24.0,"[""Phosphorus"",""Potassium""]",4.0,1.0,astera,
Flowering plant,Beemeadow,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,beemeadow,
Vegetable,Beluga,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,beluga,
Flowering Plant,Biodiversity,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,biodiversity,
Perennial,Birdsfoot,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,birdsfoot,
Flower,Black Rose,24.0,"[""Organic compost"",""Slow-release granules""]",4.0,0.5,black,
Flowering Plant,Blaues,48.0,"[""NPK"",""Compost"",""Organic Fertilizer""]",4.0,2.0,blaues,
Flowering Plant,Bristle,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,bristle,
Annual,Buckwheat,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,buckwheat,
Flowering Plant,Dominance,48.0,"[""NPK"",""Organic compost""]",4.0,2.0,dominance,
Legume,Faba,60.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",5.0,2.5,faba,
Herb,Fenugreek,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,fenugreek,
Fodder,Fodder Seed,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,fodder,
Grain,Grain,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,2.0,grain,
Herb,Basil,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.25,basil,
Herb,Borage,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,borage,
Herb,Calamintha,48.0,"[""Organic compost"",""All-purpose liquid fertilizer""]",4.0,0.5,calamintha,
Herb,Caraway,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,caraway,
Herb,Chervil,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,chervil,
Herb,Chives,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.25,chives,
Herb,Cilantro,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,cilantro,
Spice,Cinnamon,48.0,"[""NPK 10-10-10"",""Organic compost""]",12.0,1.0,cinnamon,
Herb,Clary,48.0,"[""Compost"",""Organic liquid fertilizer""]",4.0,0.2,clary,
Flowering Plant,Cochlearia,24.0,"[""Nitrogen-based fertilizer"",""Organic compost""]",4.0,0.5,cochlearia,
Herb,Coriander,48.0,"[""NPK fertilizers"",""Compost""]",4.0,0.5,coriander,
Herb,Curled,24.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,0.5,curled,
Herb,Dill,72.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,0.5,dill,
Flowering Plant,Dragon Flower,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,dragon,
Herb,Foeniculum vulgare,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,fennel,
Vegetable,Garlic,72.0,"[""Organic compost"",""Bone meal"",""Potassium sulfate""]",4.0,2.0,garlic,
Herb,Greek,24.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,greek,
Herb,Hyssop,48.0,"[""Organic compost"",""Manure""]",5.0,0.25,hyssop,
Vegetable,Korean,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,korean,
Leaf,Leaf Seed,24.0,"[""Nitrogen-based"",""Potassium-based""]",2.0,0.5,leaf,
Vegetable,Lebanese,48.0,"[""NPK"",""Organic compost""]",3.0,1.0,lebanese,
Perennial Herb,Lovage,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,lovage,
Herb,Marjoram,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.2,marjoram,
Herb,Oregano,48.0,"[""Compost"",""Organic liquid fertilizer""]",4.0,0.25,oregano,
Herb,Parsley,48.0,"[""Nitrogen-based fertilizer"",""Organic compost""]",4.0,0.25,parsley,
Vegetable,Rocket,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,rocket,
Root Vegetable,Root,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,root,
Herb,Sage,24.0,"[""Compost"",""Organic fertilizer""]",4.0,0.25,sage,
Leafy Vegetables,Salad Mix,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,salad,
Herb,Savory,48.0,"[""Organic compost"",""Fish emulsion"",""Seaweed fertilizer""]",5.0,0.375,savory,
Herbaceous perennial,Sorrel,24.0,"[""Nitrogen-based fertilizers"",""Organic compost""]",4.0,0.5,sorrel,
Herb,Stevia,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,stevia,
Flowering plant,Tetra,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,tetra,
Vegetable,Thai,12.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,thai,
Herb,Thyme,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.2,thyme,
Trio,Trio Seed,48.0,"[""Fertilizer A"",""Fertilizer B""]",2.0,2.0,trio,
Perennial Flowering Plant,Althaea officinalis,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,1.0,althaea,
Herbaceous perennial,Angelica,48.0,"[""Compost"",""Organic liquid fertilizer""]",4.0,0.2,angelica,
Herb,Artemisia,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,artemisia,
Perennial Vine,Bittersweet,48.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.5,bittersweet,
Herb,Chamomile,24.0,"[""Compost"",""Organic Liquid Fertilizer""]",4.0,0.25,chamomile,
Crop,Cotton,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.5,cotton,
Flowering Plant,Dandelion,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,0.5,dandelion,
Toxic Plant,Deadly Nightshade,48.0,"[""Compost"",""Organic Nitrogen Fertilizer""]",4.0,0.5,deadly,h
Perennial Flower,Echinacea,48.0,"[""Compost"",""Organic Fertilizer""]",6.0,0.5,echinacea,
Crops,Field Crop,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,field,
Flowering Plant,Greater,24.0,"[""NPK"",""Compost""]",4.0,2.0,greater,
Non-dairy milk alternative,Milk plant,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,milk,
Herb,Motherwort,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,motherwort,
Mountain Plant,Mountain Seed,24.0,"[""compost"",""organic fertilizer""]",4.0,2.0,mountain,
Flowering Plant,Red Flower,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,red,
Herb,Ribwort,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,0.2,ribwort,
Herbaceous Perennial,Urtica dioica,48.0,"[""Compost"",""Organic Nitrogen"",""Phosphorus-rich Fertilizer""]",4.0,0.5,stinging,
Shrub,Toothpick,72.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,toothpick,
Herb,Valerian,48.0,"[""Compost"",""Manure""]",7.0,0.2,valerian,
Perennial Flower,Verbascum,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,verbascum,
Perennial Herb,Yarrow,48.0,"[""Compost"",""Manure""]",6.0,0.5,yarrow,
Shrub,Alberello,24.0,"[""NPK fertilizer"",""Compost""]",4.0,2.0,alberello,
Flowering Plant,Albina,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,albina,
Vegetable,Amish,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,amish,
Legume,Aquadulce,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,aquadulce,
Flowering Plant,Attraction,48.0,"[""NPK"",""Compost""]",4.0,2.0,attraction,
Flowering Plant,Augspurger,48.0,"[""NPK"",""Compost""]",4.0,1.0,augspurger,
Perennial,Auriga,48.0,"[""Nitrogen"",""Potassium""]",8.0,2.0,auriga,
Flowering Plant,Bambino,24.0,"[""NPK"",""Compost""]",4.0,0.5,bambino,
Flowering Plant,Baquieu,48.0,"[""NPK fertilizers"",""Compost""]",4.0,1.0,baquieu,
Flowering Plant,Baselbieter,48.0,"[""Nitrogen"",""Phosphorous"",""Potassium""]",4.0,0.5,baselbieter,
Vegetable,Bellpepper,48.0,"[""NPK 10-10-10"",""Compost"",""Fish emulsion""]",4.0,0.5,bellpepper,
Flowering Plant,Bergers,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,2.0,bergers,h
Flowering Plant,Bernese,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,1.0,bernese,
Flowering plant,Bianco,48.0,"[""NPK 20-20-20"",""Organic compost""]",4.0,0.5,bianco,
Flowering plant,Blaro,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,blaro,
Perennial,Blauhilde,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,blauhilde,
Vegetable,Blauwschokker,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,blauwschokker,
Vegetable,Brandywine,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,brandywine,
Flowering Plant,Bright,48.0,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4.0,2.0,bright,
Flowering Plant,Brilliant,24.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,2.0,brilliant,
Perennial,Bucks,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,bucks,
Shrub,Bush Seed,24.0,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4.0,2.0,bush,
Flowering Plant,Candela,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,candela,
Root vegetable,Chantenay,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,1.5,chantenay,
Flowering Plant,Chateaurenard,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,chateaurenard,
Vegetable,Chez,48.0,"[""NPK"",""Compost""]",2.0,1.0,chez,
Vegetable,Chioggia,48.0,"[""Compost"",""Organic vegetable fertilizer""]",4.0,0.5,chioggia,
Flowering Plant,Colourful,24.0,"[""NPK"",""Compost"",""Organic fertilizers""]",4.0,0.5,colourful,
Vegetable,Corno,48.0,"[""NPK 10-10-10"",""Compost"",""Manure""]",2.0,1.0,corno,
Vegetable,Costata,24.0,"[""NPK"",""Compost"",""Bone Meal""]",2.0,1.0,costata,
Perennial,Cracoviensis,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,2.0,cracoviensis,
Vegetable,Cucamelon,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,1.0,cucamelon,
Vine,Dattelwein,48.0,"[""NPK 10-10-10"",""Compost""]",5.0,1.0,dattelwein,
Dwarf,Dwarf Seed,24.0,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4.0,2.0,dwarf,
Evergreen,Evergreen,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",4.0,2.0,evergreen,
Flowering plant,Feurio,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,feurio,
Leafy Vegetable,Filderkraut,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,filderkraut,
Leafy Vegetable,Forellenschluss,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,forellenschluss,
Flowering Plant,Formanova,24.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,formanova,h
Flowering Plant,Frieda,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,frieda,
Flowering Plant,From,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,from,
Giants,Giant Sunflower,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,giants,
Flowering Plant,Gloire,48.0,"[""NPK"",""Compost""]",4.0,1.0,gloire,
Indoor Plant,Gniff,60.0,"[""Organic Fertilizer"",""Liquid Fertilizer""]",5.0,0.75,gniff,
Flowering plant,Golden,24.0,"[""Organic fertilizer"",""Slow-release fertilizer""]",4.0,0.5,golden,
Fruit plant,Granat,48.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4.0,2.0,granat,
Grass,Grasse,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,grasse,
Vegetable,Green,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,green,
Vegetable,Grumolo,24.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,2.0,grumolo,
Shrub,Halbhoher,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,halbhoher,
Vegetable,Halblange,48.0,"[""NPK fertilizer"",""Organic compost""]",2.0,0.5,halblange,
Hoffmann,Hoffmann Seed,24.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,hoffmann,
Vegetable,Icicle,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,icicle,
Flowering Plant,Jaune,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,jaune,
Vegetable,Kalibos,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.5,0.75,kalibos,
Flowering Plant,King,24.0,"[""NPK"",""Compost""]",4.0,1.0,king,
Flowering Plant,La Seed,48.0,"[""NPK"",""Organic compost""]",4.0,2.0,la,
Flowering Plant,Laibacher,48.0,"[""NPK 10-10-10"",""compost""]",4.0,1.0,laibacher,
Leafy vegetable,Lattughino,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,lattughino,
Flowering Plant,Laura,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,laura,
Flowering plant,Mergoscia,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,mergoscia,
Flowering Plant,Miracle,48.0,"[""NPK"",""Compost""]",4.0,1.0,miracle,
Perennial,Imperial,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,imperial,
Herb,Lomanita,48.0,"[""NPK"",""Compost""]",4.0,1.0,lomanita,
Mixture,Mixture,12.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,mixture,h
Leafy greens,Mizuna,24.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,0.5,mizuna,
Annual,Moutarde,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,moutarde,
Flowering Plant,Purple Flower,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,0.5,purple,
Vegetable,Wasabino,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,wasabino,
Vegetable,Rosso,48.0,"[""NPK 10-10-10"",""Compost"",""Liquid seaweed fertilizer""]",4.0,0.5,rosso,
Perennial,Rotonda,48.0,"[""Organic compost"",""Nitrogen-based fertilizer""]",4.0,1.0,rotonda,
Vegetable,Borlotto,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,borlotto,
Flowering Plant,Canadian,48.0,"[""10-10-10"",""20-20-20"",""5-10-5""]",4.0,2.0,canadian,
Flowering Plant,Cantare,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,cantare,
